XXXX,0
VAN_EX1_001,20
VAN_EX1_076,29
VAN_EX1_046,18
VAN_CS2_197,13
VAN_CS2_187,20
VAN_CS2_161,4
VAN_CS2_189,20
VAN_EX1_017,17
VAN_NEW1_022,14
VAN_CS2_150,22
VAN_NEW1_024,12
VAN_CS2_169,12
VAN_EX1_097,19
VAN_CS2_162,22
VAN_CS2_032,17
VAN_EX1_011,24
VAN_EX1_583,12
VAN_NEW1_026,11
VAN_CS2_031,15
VAN_EX1_082,28
VAN_tt_004,17
EX1_014t,37
VAN_EX1_008,24
VAN_CS2_155,10
VAN_EX1_105,4
VAN_EX1_029,25
VAN_EX1_277,19
VAN_CS2_181,23
VAN_CS2_117,19
VAN_EX1_509,18
VAN_EX1_009,14
VAN_CS2_121,24
VAN_NEW1_020,21
VAN_EX1_116,15
VAN_EX1_032,18
VAN_NEW1_023,18
VAN_CS2_231,14
GAME_005,110
VAN_EX1_507,30
VAN_EX1_396,15
VAN_EX1_093,15
VAN_EX1_586,18
VAN_EX1_096,19
VAN_EX1_405,29
VAN_EX1_048,16
VAN_NEW1_025,14
VAN_EX1_170,19
VAN_EX1_559,8
VAN_EX1_564,14
VAN_EX1_562,7
VAN_CS2_182,15
VAN_CS2_124,14
VAN_CS2_146,19
VAN_NEW1_019,19
VAN_EX1_162,16
VAN_EX1_025,8
VAN_EX1_608,19
VAN_EX1_590,18
VAN_EX1_006,14
VAN_CS2_027,12
VAN_EX1_283,10
SW_068,11
VAN_CS2_028,15
VAN_EX1_045,17
VAN_EX1_560,3
VAN_CS1_042,12
VAN_EX1_004,16
VAN_EX1_390,12
VAN_EX1_616,21
VAN_EX1_021,15
VAN_EX1_058,15
VAN_CS2_142,16
VAN_EX1_043,12
VAN_NEW1_016,12
VAN_EX1_080,18
VAN_CS2_203,18
VAN_CS2_122,18
VAN_NEW1_037,12
VAN_CS2_141,14
VAN_CS2_179,20
VAN_EX1_016,12
SCH_231,21
SCH_605,13
VAN_EX1_110,11
VAN_CS2_024,14
SCH_713,14
VAN_CS2_186,15
VAN_CS2_171,18
VAN_EX1_100,10
VAN_CS2_188,20
VAN_NEW1_029,21
DMF_078,14
VAN_EX1_033,11
VAN_EX1_563,4
VAN_EX1_044,15
VAN_EX1_020,14
VAN_EX1_577,11
VAN_EX1_089,14
VAN_EX1_062,23
VAN_CS2_173,17
VAN_EX1_005,17
VAN_EX1_594,15
VAN_EX1_059,14
VAN_NEW1_017,14
VAN_NEW1_041,16
VAN_CS2_119,16
VAN_EX1_556,20
VAN_EX1_412,13
VAN_EX1_393,15
VAN_CS2_147,10
VAN_EX1_612,18
VAN_EX1_015,13
VAN_CS2_125,15
VAN_CS2_168,17
VAN_EX1_014,17
VAN_CS2_033,19
VAN_CS2_127,19
VAN_EX1_275,21
VAN_CS2_029,16
VAN_EX1_274,14
VAN_CS2_025,24
VAN_EX1_050,7
VAN_EX1_295,14
VAN_CS2_131,13
VAN_CS2_200,14
VAN_DS1_055,15
VAN_CS2_023,12
VAN_EX1_620,6
VAN_EX1_506,16
VAN_NEW1_012,14
VAN_CS2_026,17
VAN_CS1_069,21
VAN_NEW1_040,12
VAN_EX1_007,14
VAN_CS2_227,8
VAN_CS2_120,16
VAN_EX1_614,14
VAN_EX1_002,11
VAN_EX1_294,8
VAN_EX1_103,17
VAN_CS2_118,17
VAN_EX1_597,13
VAN_EX1_023,14
BAR_721,22
VAN_CS2_201,10
VAN_EX1_066,15
VAN_EX1_067,9
VAN_EX1_057,5
VAN_EX1_012,12
VAN_EX1_249,2
YOP_005,20
VAN_CS2_221,6
VAN_NEW1_021,17
VAN_NEW1_018,9
VAN_EX1_284,5
VAN_EX1_083,8
VAN_EX1_399,9
VAN_CS2_196,14
VAN_EX1_593,17
VAN_EX1_112,11
SCH_311,13
VAN_CS2_022,15
VAN_EX1_558,9
VAN_EX1_287,6
VAN_CS2_222,13
VAN_EX1_289,11
VAN_tt_010,16
VAN_EX1_557,14
VAN_EX1_508,16
VAN_EX1_028,14
VAN_EX1_582,5
VAN_EX1_019,16
VAN_CS2_226,17
VAN_EX1_595,8
VAN_CS2_236,4
VAN_EX1_334,1
VAN_CS2_213,12
VAN_EX1_572,4
DREAM_02,1
VAN_EX1_298,4
VAN_EX1_584,9
VAN_NEW1_027,14
VAN_CS2_151,8
VAN_CS2_172,9
VAN_EX1_102,14
VAN_EX1_621,2
VAN_EX1_010,15
VAN_EX1_085,8
VAN_NEW1_038,4
VAN_NEW1_030,2
VAN_PRO_001,7
VAN_EX1_055,18
VAN_EX1_049,18
DMF_163,4
VAN_EX1_095,7
BAR_042,5
PRO_001a,1
VAN_EX1_561,5
DMF_078t,1
VAN_EX1_279,3
PRO_001b,1
VAN_EX1_345,1
