Vector5: win, 6, lose, 4,(1549.594457)
Vector4: win, 4, lose, 6,(1450.405543)
Vector5: win, 5, lose, 5,(1521.435604)
Vector4: win, 5, lose, 5,(1478.564396)

Vector6: win, 8, lose, 2,(1647.934659)
Vector1: win, 2, lose, 8,(1352.065341)
Vector6: win, 8, lose, 2,(1631.027787)
Vector1: win, 2, lose, 8,(1368.972213)
Vector6: win, 9, lose, 1,(1698.266309)
Vector1: win, 1, lose, 9,(1301.733691)
Vector6: win, 8, lose, 2,(1581.429271)
Vector1: win, 2, lose, 8,(1418.570729)
Vector6: win, 7, lose, 3,(1658.740390)
Vector1: win, 3, lose, 7,(1341.259610)
Vector6: win, 7, lose, 3,(1581.525560)
Vector1: win, 3, lose, 7,(1418.474440)
Vector6: win, 7, lose, 3,(1647.048470)
Vector1: win, 3, lose, 7,(1352.951530)
Vector6: win, 9, lose, 1,(1712.501355)
Vector1: win, 1, lose, 9,(1287.498645)
Vector6: win, 8, lose, 2,(1623.093741)
Vector1: win, 2, lose, 8,(1376.906259)
Vector6: win, 7, lose, 3,(1517.066833)
Vector1: win, 3, lose, 7,(1482.933167)

Vector6: win, 7, lose, 3,(1620.802443)
Vector2: win, 3, lose, 7,(1396.264390)
Vector6: win, 6, lose, 4,(1563.965858)
Vector2: win, 4, lose, 6,(1453.100975)
Vector6: win, 6, lose, 4,(1476.381679)
Vector2: win, 4, lose, 6,(1540.685154)
Vector6: win, 6, lose, 4,(1586.702052)
Vector2: win, 4, lose, 6,(1430.364781)
Vector6: win, 6, lose, 4,(1531.932014)
Vector1: win, 4, lose, 6,(1468.067986)
Vector6: win, 5, lose, 5,(1575.116497)
Vector1: win, 5, lose, 5,(1424.883503)
Vector6: win, 6, lose, 4,(1512.705295)
Vector1: win, 4, lose, 6,(1487.294705)
Vector6: win, 7, lose, 3,(1569.209478)
Vector1: win, 3, lose, 7,(1430.790522)
Vector6: win, 8, lose, 2,(1661.934902)
Vector1: win, 2, lose, 8,(1338.065098)
Vector6: win, 6, lose, 4,(1577.348811)
Vector1: win, 4, lose, 6,(1422.651189)
Vector6: win, 7, lose, 3,(1531.323071)
Vector1: win, 3, lose, 7,(1468.676929)
Vector6: win, 7, lose, 3,(1630.320984)
Vector1: win, 3, lose, 7,(1369.679016)
Vector6: win, 9, lose, 1,(1709.540936)
Vector1: win, 1, lose, 9,(1290.459064)
Vector6: win, 5, lose, 5,(1510.296421)
Vector1: win, 5, lose, 5,(1489.703579)

Vector6: win, 5, lose, 5,(1445.622079)
Vector2: win, 5, lose, 5,(1564.674342)
Vector6: win, 8, lose, 2,(1590.987275)
Vector2: win, 2, lose, 8,(1419.309146)
Vector6: win, 6, lose, 4,(1542.982307)
Vector2: win, 4, lose, 6,(1467.314113)
Vector6: win, 7, lose, 3,(1607.672332)
Vector2: win, 3, lose, 7,(1402.624089)
Vector6: win, 9, lose, 1,(1668.023282)
Vector2: win, 1, lose, 9,(1342.273139)
Vector6: win, 8, lose, 2,(1696.971748)
Vector2: win, 2, lose, 8,(1313.324672)
Vector6: win, 6, lose, 4,(1456.000883)
Vector2: win, 4, lose, 6,(1554.295538)
