Vector8: win, 6, lose, 4,(1560.194818)
Vector1: win, 4, lose, 6,(1439.805182)
Vector8: win, 7, lose, 3,(1611.878906)
Vector1: win, 3, lose, 7,(1388.121094)
Vector8: win, 8, lose, 2,(1638.346489)
Vector1: win, 2, lose, 8,(1361.653511)
Vector8: win, 6, lose, 4,(1600.828349)
Vector1: win, 4, lose, 6,(1399.171651)
Vector8: win, 8, lose, 2,(1601.129087)
Vector1: win, 2, lose, 8,(1398.870913)
Vector8: win, 8, lose, 2,(1599.511269)
Vector1: win, 2, lose, 8,(1400.488731)
Vector8: win, 7, lose, 3,(1547.779437)
Vector1: win, 3, lose, 7,(1452.220563)
Vector8: win, 8, lose, 2,(1612.468012)
Vector1: win, 2, lose, 8,(1387.531988)
Vector8: win, 7, lose, 3,(1572.131532)
Vector1: win, 3, lose, 7,(1427.868468)
Vector8: win, 7, lose, 3,(1612.537794)
Vector1: win, 3, lose, 7,(1387.462206)
Vector8: win, 7, lose, 3,(1521.948714)
Vector1: win, 3, lose, 7,(1478.051286)
